input,recipe_name,output
potato beans garlic onion butter capsicum,Potato Fry,"### CONTEXT
Ingredients: potato, beans, garlic, onion, butter, capsicum

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté beans until aromatic.
<STEP> Add potato and cook on medium heat until sealed.
<STEP> Add garlic and stir continuously so ingredients combine well.
<STEP> Mix in onion and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with garlic and onion.
<END>"
mutton garlic okra tomato ginger,Mutton Curry,"### CONTEXT
Ingredients: mutton, garlic, okra, tomato, ginger

### ANSWER
<RECIPE_NAME> Mutton Curry
<STEP> Heat oil in pan and sauté garlic until slightly golden.
<STEP> Add okra and cook until the mixture turns soft.
<STEP> Add mutton with tomato and stir gently to coat.
<STEP> Cook the mixture until mutton absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour mushroom water cauliflower,Cauliflower Paratha,"### CONTEXT
Ingredients: flour, mushroom, water, cauliflower

### ANSWER
<RECIPE_NAME> Cauliflower Paratha
<STEP> Mix flour with mushroom and water until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little cauliflower.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with mushroom or yogurt.
<END>"
mutton mint hung curd ginger,Tandoori Mutton,"### CONTEXT
Ingredients: mutton, mint, hung curd, ginger

### ANSWER
<RECIPE_NAME> Tandoori Mutton
<STEP> Marinate mutton with mint, hung curd and ginger thoroughly.
<STEP> Coat the mixture well so mutton absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated mutton rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with mint and lemon.
<END>"
flour milk water oil,Chapati,"### CONTEXT
Ingredients: flour, milk, water, oil

### ANSWER
<RECIPE_NAME> Chapati
<STEP> Mix flour with milk and water until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little oil.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with milk or yogurt.
<END>"
rice beans ghee,Beans Biryani,"### CONTEXT
Ingredients: rice, beans, ghee

### ANSWER
<RECIPE_NAME> Beans Biryani
<STEP> Heat ghee in a pot and sauté beans until fragrant.
<STEP> Add ghee and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add beans and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with ghee.
<END>"
spinach garlic peas carrot mushroom,Spinach Fry,"### CONTEXT
Ingredients: spinach, garlic, peas, carrot, mushroom

### ANSWER
<RECIPE_NAME> Spinach Fry
<STEP> Heat oil in pan and sauté garlic until aromatic.
<STEP> Add spinach and cook on medium heat until sealed.
<STEP> Add peas and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with peas and carrot.
<END>"
rice mushroom coriander peas beans carrot paneer,Paneer Biryani,"### CONTEXT
Ingredients: rice, mushroom, coriander, peas, beans, carrot, paneer

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté mushroom until fragrant.
<STEP> Add coriander and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add peas and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with coriander.
<END>"
rice ghee mushroom yogurt,Mushroom Biryani,"### CONTEXT
Ingredients: rice, ghee, mushroom, yogurt

### ANSWER
<RECIPE_NAME> Mushroom Biryani
<STEP> Heat ghee in a pot and sauté ghee until fragrant.
<STEP> Add mushroom and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add yogurt and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with mushroom.
<END>"
paneer onion mushroom potato,Paneer Fry,"### CONTEXT
Ingredients: paneer, onion, mushroom, potato

### ANSWER
<RECIPE_NAME> Paneer Fry
<STEP> Heat oil in pan and sauté onion until aromatic.
<STEP> Add paneer and cook on medium heat until sealed.
<STEP> Add mushroom and stir continuously so ingredients combine well.
<STEP> Mix in potato and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with mushroom and potato.
<END>"
